Route,Bus,From,To,Traffic_Level,Travel_Time_Minutes,Start_Time,Arrival_Time
Route_1,Bus_1,Stop_1,Stop_2,high,7.5,08:00,08:07
Route_1,Bus_1,Stop_2,Stop_3,high,7.5,08:07,08:15
Route_1,Bus_1,Stop_3,Stop_4,high,7.5,08:15,08:22
Route_1,Bus_1,Stop_4,Stop_5,medium,6.0,08:22,08:28
Route_1,Bus_1,Stop_5,Stop_6,low,5.0,08:28,08:33
Route_1,Bus_1,Stop_6,Stop_7,low,5.0,08:33,08:38
Route_1,Bus_1,Stop_7,Stop_8,high,7.5,08:38,08:46
Route_1,Bus_1,Stop_8,Stop_9,low,5.0,08:46,08:51
Route_1,Bus_1,Stop_9,Stop_10,low,5.0,08:51,08:56
Route_1,Bus_2,Stop_1,Stop_2,high,7.5,08:15,08:22
Route_1,Bus_2,Stop_2,Stop_3,high,7.5,08:22,08:30
Route_1,Bus_2,Stop_3,Stop_4,high,7.5,08:30,08:37
Route_1,Bus_2,Stop_4,Stop_5,medium,6.0,08:37,08:43
Route_1,Bus_2,Stop_5,Stop_6,low,5.0,08:43,08:48
Route_1,Bus_2,Stop_6,Stop_7,low,5.0,08:48,08:53
Route_1,Bus_2,Stop_7,Stop_8,high,7.5,08:53,09:01
Route_1,Bus_2,Stop_8,Stop_9,low,5.0,09:01,09:06
Route_1,Bus_2,Stop_9,Stop_10,low,5.0,09:06,09:11
Route_1,Bus_3,Stop_1,Stop_2,high,7.5,08:30,08:37
Route_1,Bus_3,Stop_2,Stop_3,high,7.5,08:37,08:45
Route_1,Bus_3,Stop_3,Stop_4,high,7.5,08:45,08:52
Route_1,Bus_3,Stop_4,Stop_5,medium,6.0,08:52,08:58
Route_1,Bus_3,Stop_5,Stop_6,low,5.0,08:58,09:03
Route_1,Bus_3,Stop_6,Stop_7,low,5.0,09:03,09:08
Route_1,Bus_3,Stop_7,Stop_8,high,7.5,09:08,09:16
Route_1,Bus_3,Stop_8,Stop_9,low,5.0,09:16,09:21
Route_1,Bus_3,Stop_9,Stop_10,low,5.0,09:21,09:26
Route_1,Bus_4,Stop_1,Stop_2,high,7.5,08:45,08:52
Route_1,Bus_4,Stop_2,Stop_3,high,7.5,08:52,09:00
Route_1,Bus_4,Stop_3,Stop_4,high,7.5,09:00,09:07
Route_1,Bus_4,Stop_4,Stop_5,medium,6.0,09:07,09:13
Route_1,Bus_4,Stop_5,Stop_6,low,5.0,09:13,09:18
Route_1,Bus_4,Stop_6,Stop_7,low,5.0,09:18,09:23
Route_1,Bus_4,Stop_7,Stop_8,high,7.5,09:23,09:31
