Route,Bus,From,To,Traffic_Level,Travel_Time_Minutes,Start_Time,Arrival_Time
Route_1,Bus_1,Stop_1,Stop_2,low,5.0,08:00,08:05
Route_1,Bus_1,Stop_2,Stop_3,high,7.5,08:05,08:12
Route_1,Bus_1,Stop_3,Stop_4,medium,6.0,08:12,08:18
Route_1,Bus_1,Stop_4,Stop_5,medium,6.0,08:18,08:24
Route_1,Bus_1,Stop_5,Stop_6,high,7.5,08:24,08:32
Route_1,Bus_1,Stop_6,Stop_7,medium,6.0,08:32,08:38
Route_1,Bus_1,Stop_7,Stop_8,high,7.5,08:38,08:45
Route_1,Bus_1,Stop_8,Stop_9,high,7.5,08:45,08:53
Route_1,Bus_1,Stop_9,Stop_10,low,5.0,08:53,08:58
Route_1,Bus_1,Stop_10,Stop_11,low,5.0,08:58,09:03
Route_1,Bus_1,Stop_11,Stop_12,medium,6.0,09:03,09:09
Route_1,Bus_1,Stop_12,Stop_13,high,7.5,09:09,09:16
Route_1,Bus_1,Stop_13,Stop_14,low,5.0,09:16,09:21
Route_1,Bus_1,Stop_14,Stop_15,medium,6.0,09:21,09:27
Route_2,Bus_2,Stop_1,Stop_2,low,5.0,09:27,09:32
Route_2,Bus_2,Stop_2,Stop_3,medium,6.0,09:32,09:38
Route_2,Bus_2,Stop_3,Stop_4,high,7.5,09:38,09:46
Route_2,Bus_2,Stop_4,Stop_5,low,5.0,09:46,09:51
Route_2,Bus_2,Stop_5,Stop_6,low,5.0,09:51,09:56
Route_2,Bus_2,Stop_6,Stop_7,high,7.5,09:56,10:03
Route_2,Bus_2,Stop_7,Stop_8,low,5.0,10:03,10:08
Route_2,Bus_2,Stop_8,Stop_9,low,5.0,10:08,10:13
Route_2,Bus_2,Stop_9,Stop_10,high,7.5,10:13,10:21
Route_2,Bus_2,Stop_10,Stop_11,low,5.0,10:21,10:26
Route_2,Bus_2,Stop_11,Stop_12,low,5.0,10:26,10:31
Route_2,Bus_2,Stop_12,Stop_13,low,5.0,10:31,10:36
Route_2,Bus_2,Stop_13,Stop_14,high,7.5,10:36,10:43
Route_2,Bus_2,Stop_14,Stop_15,high,7.5,10:43,10:51
Route_3,Bus_3,Stop_1,Stop_2,high,7.5,10:51,10:58
Route_3,Bus_3,Stop_2,Stop_3,high,7.5,10:58,11:06
Route_3,Bus_3,Stop_3,Stop_4,low,5.0,11:06,11:11
Route_3,Bus_3,Stop_4,Stop_5,low,5.0,11:11,11:16
Route_3,Bus_3,Stop_5,Stop_6,high,7.5,11:16,11:23
Route_3,Bus_3,Stop_6,Stop_7,high,7.5,11:23,11:31
Route_3,Bus_3,Stop_7,Stop_8,low,5.0,11:31,11:36
Route_3,Bus_3,Stop_8,Stop_9,low,5.0,11:36,11:41
Route_3,Bus_3,Stop_9,Stop_10,high,7.5,11:41,11:48
Route_3,Bus_3,Stop_10,Stop_11,high,7.5,11:48,11:56
Route_3,Bus_3,Stop_11,Stop_12,medium,6.0,11:56,12:02
Route_3,Bus_3,Stop_12,Stop_13,low,5.0,12:02,12:07
Route_3,Bus_3,Stop_13,Stop_14,low,5.0,12:07,12:12
Route_3,Bus_3,Stop_14,Stop_15,low,5.0,12:12,12:17
Route_4,Bus_4,Stop_1,Stop_2,low,5.0,12:17,12:22
Route_4,Bus_4,Stop_2,Stop_3,medium,6.0,12:22,12:28
Route_4,Bus_4,Stop_3,Stop_4,low,5.0,12:28,12:33
Route_4,Bus_4,Stop_4,Stop_5,low,5.0,12:33,12:38
Route_4,Bus_4,Stop_5,Stop_6,medium,6.0,12:38,12:44
Route_4,Bus_4,Stop_6,Stop_7,high,7.5,12:44,12:51
Route_4,Bus_4,Stop_7,Stop_8,high,7.5,12:51,12:59
Route_4,Bus_4,Stop_8,Stop_9,high,7.5,12:59,13:06
Route_4,Bus_4,Stop_9,Stop_10,medium,6.0,13:06,13:12
Route_4,Bus_4,Stop_10,Stop_11,low,5.0,13:12,13:17
Route_4,Bus_4,Stop_11,Stop_12,high,7.5,13:17,13:25
Route_4,Bus_4,Stop_12,Stop_13,low,5.0,13:25,13:30
Route_4,Bus_4,Stop_13,Stop_14,low,5.0,13:30,13:35
Route_4,Bus_4,Stop_14,Stop_15,low,5.0,13:35,13:40
Route_5,Bus_5,Stop_1,Stop_2,medium,6.0,13:40,13:46
Route_5,Bus_5,Stop_2,Stop_3,high,7.5,13:46,13:53
Route_5,Bus_5,Stop_3,Stop_4,medium,6.0,13:53,13:59
Route_5,Bus_5,Stop_4,Stop_5,low,5.0,13:59,14:04
Route_5,Bus_5,Stop_5,Stop_6,low,5.0,14:04,14:09
Route_5,Bus_5,Stop_6,Stop_7,high,7.5,14:09,14:17
Route_5,Bus_5,Stop_7,Stop_8,high,7.5,14:17,14:24
Route_5,Bus_5,Stop_8,Stop_9,medium,6.0,14:24,14:30
Route_5,Bus_5,Stop_9,Stop_10,medium,6.0,14:30,14:36
Route_5,Bus_5,Stop_10,Stop_11,medium,6.0,14:36,14:42
Route_5,Bus_5,Stop_11,Stop_12,medium,6.0,14:42,14:48
Route_5,Bus_5,Stop_12,Stop_13,medium,6.0,14:48,14:54
Route_5,Bus_5,Stop_13,Stop_14,high,7.5,14:54,15:02
Route_5,Bus_5,Stop_14,Stop_15,medium,6.0,15:02,15:08
